English Word,French Word,Frequency
lawful,légitime,56,
meeting,réunion,217,
change,changement,44,
first,première,422,
although,bien que,32,
perhaps,peut-être,26,
messenger,Messager,36,
blows,coups,43,
authority,autorité,325,
until,jusqu'à,37,
throw,jeter,41,
unknown,inconnue,45,
prove,prouver,40,
speech,discours,39,
permission,autorisation,36,
denied,refusé,37,
device,dispositif,39,
needs,Besoins,74,
enter,entrer,73,
passage,divertir,84,
beauty,divertissement,38,
still,passage,36,
bastard,beauté,36,
consider,encore,36,
story,Connard,102,
merchant,considérer,36,
wretch,récit,36,
intend,marchande,51,
discourse,misérable,13,
slender,avoir l'intention,47,
mistress,discours,64,
practice,mince,78,
person,maîtresse,17,
tedious,entraine toi,119,
copies,la personne,212,
marcus,personnel,59,
except,fastidieux,13,
chide,copies,15,
those,Marcus,40,
coward,sauf,475,
blunt,gronder,58,
wealth,ceux,78,
abuse,lâche,11,
revolt,cru,8,
affairs,richesse,144,
readable,abuser de,392,
advice,révolte,17,
dolabella,affaires,37,
business,lisible,9,
copyright,Conseil,20,
false,Dolabella,626,
enemy,Entreprise,18,
victory,droits d'auteur,158,
truth,faux,31,
trumpet,ennemi,62,
maids,la victoire,22,
where,vérité,12,
order,trompette,14,
stroke,servantes,50,
teach,où,15,
discover,où,38,
sudden,ordre,21,
beard,accident vasculaire cérébral,19,
courage,enseigner,167,
parolles,découvrir,11,
everything,soudain,27,
provided,tout à coup,12,
wrong,barbe,105,
emperor,courage,40,
shall,parolles,29,
quiet,tout,63,
ambition,à condition de,239,
coming,faux,15,
respect,empereur,16,
revenge,doit,49,
leisure,silencieux,26,
could,ambition,62,
estate,venir,12,
armour,le respect,231,
choice,vengeance,38,
minds,loisir,50,
court,pourrait,88,
burning,biens,132,
shape,armure,182,
wisdom,choix,33,
enough,esprits,22,
unworthy,tribunal,17,
flatter,courtoisie,35,
knowing,brûlant,28,
merit,forme,297,
pound,sagesse,143,
familiar,assez,18,
porter,indigne,16,
toward,flatter,15,
entertainment,connaissance,32,
trust,mérite,12,
hours,livre,29,
sharp,familier,622,
something,porter,26,
waste,vers,83,
mistake,divertissement,60,
judgment,confiance,180,
flood,heures,22,
field,tranchant,50,
dreams,quelque chose,55,
subject,déchets,93,
other,erreur,33,
obedience,jugement,51,
write,inonder,22,
saint,champ,83,
capitol,rêves,16,
together,matière,89,
going,un autre,132,
behalf,frère,10,
gates,mère,116,
loose,autre,8,
worth,autres,51,
early,obéissance,14,
highness,écrire,14,
forget,Saint,19,
henceforth,Capitole,6,
egypt,ensemble,17,
reputation,Aller,116,
companion,nom,134,
version,portes,7,
yield,ample,47,
whither,indigne,194,
sister,vaut,36,
villain,chèrement,71,
depart,de bonne heure,133,
whence,altesse,34,
knave,oublier,67,
black,désormais,14,
large,Egypte,110,
would,réputation,13,
tread,un compagnon,24,
child,version,23,
morning,rendement,392,
majesty,où,15,
citizen,sœur,14,
cominius,scélérat,13,
desire,partir,180,
commit,d'où,5,
world,fripon,135,
valour,noir,101,
alive,grand,6,
contempt,aurait,9,
yourself,bande de roulement,35,
oaths,enfant,150,
grief,Matin,140,
favour,majesté,13,
farther,citoyenne,28,
march,cominius,4,
belike,le désir,44,
shortly,commettre,42,
sickness,monde,6,
prize,valeur,32,
finds,vivant,47,
morrow,mépris,25,
solemn,toi même,16,
often,serments,4,
drawn,douleur,29,
witch,favoriser,31,
greet,plus loin,29,
prayers,Mars,43,
neighbour,être comme,9,
warlike,prochainement,14,
though,maladie,25,
devil,prix,76,
doctor,trouve,32,
curse,demain,54,
contrary,solennel,43,
before,souvent,25,
found,tiré,15,
native,sorcière,12,
secret,saluer,16,
therein,prières,27,
answer,voisine,10,
there,guerrier,42,
looks,bien que,80,
brows,bien que,13,
witness,pensée,16,
slain,diable,78,
hundred,docteur,23,
street,malédiction,10,
straight,contraire,17,
behold,avant,9,
light,a trouvé,6,
hands,originaire de,7,
wound,secret,30,
might,la bride,127,
small,répondre,35,
father,Là,9,
spirit,par conséquent,15,
praise,la bride,15,
meaning,regards,20,
seven,sourcils,24,
innocent,témoin,35,
enjoy,tué,75,
appear,cent,27,
awhile,rue,65,
friend,tout droit,27,
clothes,voir,5,
wrought,délice,152,
steal,vol,93,
attend,lumière,14,
counterfeit,mains,101,
gallant,blessure,9,
damned,blessés,154,
posthumus,pourrait,16,
tears,puissant,25,
phebe,petit,8,
delight,père,94,
scorn,esprit,17,
rascal,louange,12,
cousin,sens,97,
treasure,Sept,28,
husband,innocent,13,
watch,prendre plaisir,77,
making,apparaître,81,
fresh,apparaît,11,
maintain,quelque temps,18,
farewell,ami,95,
affections,vêtements,15,
rather,forgé,76,
attended,voler,14,
wives,assister,19,
faith,assisté,7,
shepherd,contrefaire,14,
plead,galant,66,
having,damné,181,
shore,posthume,8,
nothing,larmes,40,
undone,phebe,96,
green,délice,10,
clear,mépris,10,
peace,coquin,12,
faint,cousin,13,
library,Trésor,14,
french,mari,22,
along,regarder,17,
never,fabrication,48,
manner,Frais,51,
regard,maintenir,13,
proclaim,adieu,73,
flight,affections,9,
durst,plutôt,17,
intent,assisté,13,
dreadful,épouses,23,
kings,Foi,19,
dwell,berger,18,
sworn,plaider,8,
state,ayant,25,
marcius,rive,28,
effect,rien,5,
conduct,défait,49,
shame,vert,13,
offer,clair,7,
pleasure,paix,20,
saying,perdre connaissance,14,
slave,bibliothèque,12,
short,français,36,
young,le long de,81,
custom,jamais,94,
flies,manière,148,
quick,qui concerne,102,
seeing,proclamer,18,
partly,vol,225,
clouds,durst,13,
angel,intention,73,
lordship,horrible,19,
weapons,rois,9,
fools,habiter,12,
bodies,juré,6,
dagger,biens,46,
youth,Etat,20,
begin,Marcius,8,
courtesy,effet,120,
repent,conduite,9,
patience,la honte,13,
uncle,offre,13,
comes,mécontentement,32,
cares,plaisir,38,
neither,en disant,18,
faces,esclave,12,
withal,court,10,
wings,prochainement,22,
fears,Jeune,3,
taste,Douane,9,
countess,mouches,37,
match,rapide,6,
suspect,voyant,12,
trial,partiellement,20,
unhappy,des nuages,11,
truly,ange,69,
consent,seigneurie,31,
cupid,armes,11,
bearing,imbéciles,29,
naked,corps,14,
place,dague,13,
woman,jeunesse,15,
limbs,commencer,50,
complete,courtoisie,16,
pains,se repentir,27,
dearly,la patience,5,
ladyship,oncle,9,
complexion,vient,22,
flourish,se soucie,22,
unless,ni,31,
swear,visages,6,
proud,avec,8,
knowledge,ailes,4,
command,peurs,5,
exeunt,goût,11,
claim,comtesse,12,
infinite,rencontre,17,
church,suspect,69,
displeasure,procès,27,
commend,malheureux,10,
deeds,vraiment,11,
possible,consentement,16,
judge,Cupidon,4,
company,palier,16,
fourth,nu,48,
special,endroit,12,
finger,femme,8,
treason,membres,14,
private,Achevée,31,
freely,des douleurs,16,
heart,chèrement,10,
store,Madame,8,
content,complexion,10,
longer,fleurir,39,
ghost,sauf si,17,
